P001_WA11_00013 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula;Campanula_punctata 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Gnaphalium; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula;
P001_WA12_00040 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Matricaria; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia;Artemisia_fukudo 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Anthemis; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leucanthemum;
P001_WA12_00041 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Matricaria; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tanacetum;Tanacetum_coccineum 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Anthemis; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Anthemis; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leucanthemum; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;
P001_WB01_00006 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella;Avenella_flexuosa 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Deschampsia; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Arctagrostis; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Sesleria;
P001_WB01_00256 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis; 	 Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus_japonicus 	 Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Dianthus; 	 Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus; 	 Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;
P001_WB01_00257 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis; 	 Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus_japonicus 	 Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus; 	 Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;Dianthus; 	 Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus; 	 Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;
P001_WB01_00430 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis; 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis;Arabis_alpina 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Juncaceae;Luzula; 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Cochlearia; 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Draba; 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;
P001_WB01_00431 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis; 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis;Arabis_alpina 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Draba; 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Draba; 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Draba; 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;
P001_WB01_00455 	 Eukaryota;Streptophyta;Magnoliopsida;Brassicales;Brassicaceae;Arabis; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella;Avenella_flexuosa 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Deschampsia; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Sesleria;
P001_WB02_00101 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix_suchowensis 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;
P001_WB02_00102 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix_suchowensis 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;
P001_WB02_00135 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella;Avenella_flexuosa 	 Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Deschampsia; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Avenella; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Sesleria;
P001_WB03_00140 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex_neurocarpa 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Antennaria; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;
P001_WB03_00141 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eleocharis;Eleocharis_dulcis 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Antennaria; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;
P001_WB04_00121 	 Eukaryota;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula; 	 Eukaryota;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula;Betula_nana 	 Eukaryota;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula; 	 Eukaryota;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Dryas; 	 Eukaryota;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Dryas; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;
P001_WB04_00122 	 Eukaryota;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula; 	 Eukaryota;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula;Betula_nana 	 Eukaryota;Streptophyta;Magnoliopsida;Fagales;Betulaceae;Betula; 	 Eukaryota;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Dryas; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex; 	 Eukaryota;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Dryas;
P001_WB05_00039 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Anthoxanthum; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Anthoxanthum;Anthoxanthum_odoratum 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Calamagrostis; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Hierochloe; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Calamagrostis; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Calamagrostis;
P001_WB06_00085 	 Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;Comastoma; 	 Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;Swertia;Swertia_diluta 	 Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;Gentianella; 	 Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;Gentiana; 	 Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;Gentiana; 	 Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;Gentiana;
P001_WB07_00019 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Oxytropis; 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Oxytropis;Oxytropis_bicolor 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Oxytropis; 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Oxytropis; 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Astragalus; 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Astragalus;
P001_WB07_00020 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Oxytropis; 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Carmichaelia;Carmichaelia_australis 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Oxytropis; 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Oxytropis; 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Astragalus; 	 Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Astragalus;
P001_WB08_00111 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Bromus; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Bromus;Bromus_inermis 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Phleum; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Trisetum; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Arctophila; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Arctagrostis;
P001_WB08_00112 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Bromus; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Bromus;Bromus_biebersteinii 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Phleum; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Poa; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Poa; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Poa;
P001_WB09_00123 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leontodon; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leucomeris;Leucomeris_decora 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leontodon; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium;
P001_WB09_00124 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leontodon; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Sonchus;Sonchus_canariensis 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Leontodon; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Hieracium; 	 Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Solidago;
P001_WB10_00115 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Nardus; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Nardus;Nardus_stricta 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Sesleria; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca; 	 Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca;
